name,location.latitude,location.longitude,Number of Floors,Status,Year Built,Height in feet,Number of Units
1001 Wilder,21.309074,-157.842955,17,completed,1964,132,68
1010 Wilder,21.309229,-157.842077,18,completed,1974,183,42
1015 Wilder I,21.308596,-157.842613,12,completed,1988,122,58
1015 Wilder II,21.308596,-157.842613,12,completed,1988,122,58
1133 Waimanu,21.294751,-157.850361,26,completed,1996,264,282
1350 Ala Moana,21.29196,-157.848074,33,completed,1968,308,354
1448 Young Street,21.299341,-157.838292,17,completed,1999,183,202
1717 Ala Wai ,21.288194,-157.835536,31,completed,1970,265,283
2121 Ala Wai Boulevard,21.283632,-157.828279,42,completed,1979,347,211
215 North King ,21.314388,-157.864334,23,completed,2005,233,251
2987 Kalakaua,21.260126,-157.819625,7,completed,1953,71,41
3003 Kalakaua,21.259525,-157.819459,12,completed,1962,122,24
3019 Kalakaua,21.259228,-157.81915,14,completed,1961,122,12
3056 KalaKaua,21.258538,-157.818386,9,completed,1968,91,16
400 Keawe St,21.299496,-157.861211,6,completed,2016,61,95
444 Nahua,21.280197,-157.824864,22,completed,1976,223,192
801 South Street Building A,21.30270004,-157.8565521,46,completed,2015,413,635
801 South Street Building B,21.3024292,-157.8556671,46,completed,2017,413,410
A'ali'i,21.296141,-157.853281,42,under construction,2021,418,751
Admiral Thomas Condominiums,21.303938,-157.847314,34,completed,1980,345,149
AE'O,21.295219,-157.852938,41,completed,2018,400,466
Ala Wai Plaza Skyrise,21.286803,-157.827216,25,completed,1970,333,349
Allure Waikiki,21.287597,-157.834246,35,completed,2010,320,300
Aloha Diamond Head Tower,21.281801,-157.827569,19,completed,1976,193,197
Aloha Ewa Tower,21.282468,-157.828057,30,completed,1976,304,197
Aloha Lani Condominiums,21.282202,-157.82661,38,completed,1975,280,359
Anaha,21.29397011,-157.852005,38,under construction,2017,400,311
Atkinson Plaza,21.289927,-157.838104,18,completed,1979,183,127
Atkinson Towers Inc ,21.288983,-157.839136,15,completed,1959,152,111
Azure Ala Moana,21.294266,-157.841735,41,under construction,2021,400,410
